id,date,start_time,end_time,slots_minutes,break_start,break_end
D1,2026-05-01,09:00,18:00,30,13:00,14:00
D1,2026-05-02,09:00,18:00,30,13:00,14:00
D1,2026-05-03,09:00,18:00,30,13:00,14:00
D1,2026-05-04,09:00,18:00,30,13:00,14:00
D1,2026-05-05,09:00,18:00,30,13:00,14:00
D1,2026-05-06,09:00,18:00,30,13:00,14:00
D1,2026-05-07,09:00,18:00,30,13:00,14:00
D1,2026-05-08,09:00,18:00,30,13:00,14:00
D1,2026-05-09,09:00,18:00,30,13:00,14:00
D1,2026-05-10,09:00,18:00,30,13:00,14:00
D1,2026-05-11,09:00,18:00,30,13:00,14:00
D1,2026-05-12,09:00,18:00,30,13:00,14:00
D1,2026-05-13,09:00,18:00,30,13:00,14:00
D1,2026-05-14,09:00,18:00,30,13:00,14:00
D1,2026-05-15,09:00,18:00,30,13:00,14:00
D1,2026-05-16,09:00,18:00,30,13:00,14:00
D1,2026-05-17,09:00,18:00,30,13:00,14:00
D1,2026-05-18,09:00,18:00,30,13:00,14:00
D1,2026-05-19,09:00,18:00,30,13:00,14:00
D1,2026-05-20,09:00,18:00,30,13:00,14:00
D1,2026-05-21,09:00,18:00,30,13:00,14:00
D1,2026-05-22,09:00,18:00,30,13:00,14:00
D1,2026-05-23,09:00,18:00,30,13:00,14:00
D2,2026-05-01,09:00,18:00,30,13:00,14:00
D2,2026-05-02,09:00,18:00,30,13:00,14:00
D2,2026-05-03,09:00,18:00,30,13:00,14:00
D2,2026-05-04,09:00,18:00,30,13:00,14:00
D2,2026-05-05,09:00,18:00,30,13:00,14:00
D2,2026-05-06,09:00,18:00,30,13:00,14:00
D2,2026-05-07,09:00,18:00,30,13:00,14:00
D2,2026-05-08,09:00,18:00,30,13:00,14:00
D2,2026-05-09,09:00,18:00,30,13:00,14:00
D2,2026-05-10,09:00,18:00,30,13:00,14:00
D2,2026-05-11,09:00,18:00,30,13:00,14:00
D2,2026-05-12,09:00,18:00,30,13:00,14:00
D2,2026-05-13,09:00,18:00,30,13:00,14:00
D2,2026-05-14,09:00,18:00,30,13:00,14:00
D2,2026-05-15,09:00,18:00,30,13:00,14:00
D2,2026-05-16,09:00,18:00,30,13:00,14:00
D2,2026-05-17,09:00,18:00,30,13:00,14:00
D2,2026-05-18,09:00,18:00,30,13:00,14:00
D2,2026-05-19,09:00,18:00,30,13:00,14:00
D2,2026-05-20,09:00,18:00,30,13:00,14:00
D2,2026-05-21,09:00,18:00,30,13:00,14:00
D2,2026-05-22,09:00,18:00,30,13:00,14:00
D2,2026-05-23,09:00,18:00,30,13:00,14:00
D3,2026-05-01,09:00,18:00,30,13:00,14:00
D3,2026-05-02,09:00,18:00,30,13:00,14:00
D3,2026-05-03,09:00,18:00,30,13:00,14:00
D3,2026-05-04,09:00,18:00,30,13:00,14:00
D3,2026-05-05,09:00,18:00,30,13:00,14:00
D3,2026-05-06,09:00,18:00,30,13:00,14:00
D3,2026-05-07,09:00,18:00,30,13:00,14:00
D3,2026-05-08,09:00,18:00,30,13:00,14:00
D3,2026-05-09,09:00,18:00,30,13:00,14:00
D3,2026-05-10,09:00,18:00,30,13:00,14:00
D3,2026-05-11,09:00,18:00,30,13:00,14:00
D3,2026-05-12,09:00,18:00,30,13:00,14:00
D3,2026-05-13,09:00,18:00,30,13:00,14:00
D3,2026-05-14,09:00,18:00,30,13:00,14:00
D3,2026-05-15,09:00,18:00,30,13:00,14:00
D3,2026-05-16,09:00,18:00,30,13:00,14:00
D3,2026-05-17,09:00,18:00,30,13:00,14:00
D3,2026-05-18,09:00,18:00,30,13:00,14:00
D3,2026-05-19,09:00,18:00,30,13:00,14:00
D3,2026-05-20,09:00,18:00,30,13:00,14:00
D3,2026-05-21,09:00,18:00,30,13:00,14:00
D3,2026-05-22,09:00,18:00,30,13:00,14:00
D3,2026-05-23,09:00,18:00,30,13:00,14:00
D4,2026-05-01,09:00,18:00,30,13:00,14:00
D4,2026-05-02,09:00,18:00,30,13:00,14:00
D4,2026-05-03,09:00,18:00,30,13:00,14:00
